scene_instance_id,beta1_r,beta2_r,beta1_g,beta2_g,beta1_b,beta2_b
0001_001_S6_00100_00060_3200_L,0.0004794565,0,0.0004794565,0,0.0004794565,0
0002_001_S6_00100_00020_3200_N,0.0004794565,0,0.0004794565,0,0.0004794565,0
0003_001_S6_00100_00060_3200_H,0.0004794565,0,0.0004794565,0,0.0004794565,0
0004_001_S6_00100_00060_4400_L,0.0004794565,0,0.0004794565,0,0.0004794565,0
0005_001_S6_00100_00060_4400_N,0.0004794565,0,0.0004794565,0,0.0004794565,0
0006_001_S6_00100_00060_4400_H,0.0004794565,0,0.0004794565,0,0.0004794565,0
0007_001_S6_00100_00100_5500_L,0.0004794565,0,0.0004794565,0,0.0004794565,0
0008_001_S6_00100_00100_5500_N,0.0004794565,0,0.0004794565,0,0.0004794565,0
0010_001_S6_00800_00350_3200_N,0.0036956065,0,0.0036956065,0,0.0036956065,0
0011_001_S6_00800_00500_5500_L,0.0036956065,0,0.0036956065,0,0.0036956065,0
0012_001_S6_00800_00500_5500_N,0.0036956065,0,0.0036956065,0,0.0036956065,0
0013_001_S6_03200_01250_3200_L,0.0199304065,0,0.0199304065,0,0.0199304065,0
0014_001_S6_03200_01250_3200_N,0.0199304065,0,0.0199304065,0,0.0199304065,0
0015_001_S6_03200_01600_5500_L,0.0199304065,0,0.0199304065,0,0.0199304065,0
0016_001_S6_03200_01600_5500_N,0.0199304065,0,0.0199304065,0,0.0199304065,0
0017_001_GP_00100_00060_5500_N,0.000228107086,2.1247339e-06,0.000228107086,2.1247339e-06,0.000228107086,2.1247339e-06
0018_001_GP_00100_00160_5500_L,0.000228107086,2.1247339e-06,0.000228107086,2.1247339e-06,0.000228107086,2.1247339e-06
0019_001_GP_00800_00640_5500_L,0.001763896586,1.23990196e-05,0.001763896586,1.23990196e-05,0.001763896586,1.23990196e-05
0020_001_GP_00800_00350_5500_N,0.001763896586,1.23990196e-05,0.001763896586,1.23990196e-05,0.001763896586,1.23990196e-05
0022_001_N6_00100_00060_5500_N,0.00047275677,2.7743688e-06,0.00047275677,2.7743688e-06,0.00047275677,2.7743688e-06
0023_001_N6_00800_00350_5500_N,0.00347614807,5.205620595e-05,0.00347614807,5.205620595e-05,0.00347614807,5.205620595e-05
0025_001_G4_00100_00060_5500_L,0.0007389967,0,0.0007389967,0,0.0007389967,0
0027_001_G4_00800_00350_5500_L,0.0033556191,6.313376e-05,0.0033556191,6.313376e-05,0.0033556191,6.313376e-05
0028_001_IP_00100_00160_5500_N,0.000701640344853895,3.29612801475335e-06,0.000661838712138552,3.23413496401717e-06,0.000709115739681086,3.24543457998797e-06
0029_001_IP_00800_01000_5500_N,0.000722592507820249,3.29430722355426e-06,0.00066757610437171,3.18062652086344e-06,0.000687766842145419,3.29792086542252e-06
0030_001_IP_01600_02000_5500_N,0.00068674448767834,2.21352561586909e-06,0.000627534905012589,2.06239761796738e-06,0.000660715648126955,2.15238475129514e-06
0032_001_IP_00800_01000_3200_N,0.000722592507820249,3.29430722355426e-06,0.00066757610437171,3.18062652086344e-06,0.000687766842145419,3.29792086542252e-06
0033_001_IP_00100_00160_3200_N,0.000701640344853895,3.29612801475335e-06,0.000661838712138552,3.23413496401717e-06,0.000709115739681086,3.24543457998797e-06
0034_002_GP_00100_00160_3200_N,0.000228107086,2.1247339e-06,0.000228107086,2.1247339e-06,0.000228107086,2.1247339e-06
0035_002_GP_00800_00350_3200_N,0.001763896586,1.23990196e-05,0.001763896586,1.23990196e-05,0.001763896586,1.23990196e-05
0036_002_GP_06400_03200_3200_N,0.014050212586,0.0007170329044,0.014050212586,0.0007170329044,0.014050212586,0.0007170329044
0038_002_GP_00800_00640_3200_L,0.001763896586,1.23990196e-05,0.001763896586,1.23990196e-05,0.001763896586,1.23990196e-05
0039_002_IP_00100_00180_5500_L,0.00068674448767834,2.21352561586909e-06,0.000627534905012589,2.06239761796738e-06,0.000660715648126955,2.15238475129514e-06
0040_002_IP_00800_02000_5500_L,0.000722592507820249,3.29430722355426e-06,0.00066757610437171,3.18062652086344e-06,0.000687766842145419,3.29792086542252e-06
0042_002_IP_01600_03100_5500_N,0.000701640344853895,3.29612801475335e-06,0.000661838712138552,3.23413496401717e-06,0.000709115739681086,3.24543457998797e-06
0043_002_IP_00800_01520_5500_N,0.000722592507820249,3.29430722355426e-06,0.00066757610437171,3.18062652086344e-06,0.000687766842145419,3.29792086542252e-06
0044_002_IP_00100_00180_5500_N,0.00068674448767834,2.21352561586909e-06,0.000627534905012589,2.06239761796738e-06,0.000660715648126955,2.15238475129514e-06
0045_002_G4_00100_00060_3200_L,0.0007389967,0,0.0007389967,0,0.0007389967,0
0047_002_G4_00800_00640_3200_L,0.0033556191,6.313376e-05,0.0033556191,6.313376e-05,0.0033556191,6.313376e-05
0048_002_N6_00100_00100_5500_L,0.00047275677,2.7743688e-06,0.00047275677,2.7743688e-06,0.00047275677,2.7743688e-06
0050_002_N6_03200_03200_5500_L,0.01377348967,0.0008328992952,0.01377348967,0.0008328992952,0.01377348967,0.0008328992952
0051_002_S6_00100_00060_5500_N,0.0004794565,0,0.0004794565,0,0.0004794565,0
0052_002_S6_01600_01000_5500_N,0.0082112065,0,0.0082112065,0,0.0082112065,0
0054_003_N6_00100_00160_5500_N,0.00047275677,2.7743688e-06,0.00047275677,2.7743688e-06,0.00047275677,2.7743688e-06
0055_003_N6_00800_01000_5500_N,0.00347614807,5.205620595e-05,0.00347614807,5.205620595e-05,0.00347614807,5.205620595e-05
0057_003_G4_00100_00125_5500_L,0.0007389967,0,0.0007389967,0,0.0007389967,0
0059_003_G4_00800_01000_5500_L,0.0033556191,6.313376e-05,0.0033556191,6.313376e-05,0.0033556191,6.313376e-05
0060_003_S6_00100_00100_4400_L,0.0004794565,0,0.0004794565,0,0.0004794565,0
0062_003_S6_03200_02500_4400_L,0.0199304065,0,0.0199304065,0,0.0199304065,0
0063_003_GP_00100_00100_4400_N,0.000228107086,2.1247339e-06,0.000228107086,2.1247339e-06,0.000228107086,2.1247339e-06
0064_003_GP_01600_01600_4400_N,0.003519084586,4.4814556525e-05,0.003519084586,4.4814556525e-05,0.003519084586,4.4814556525e-05
0065_003_GP_10000_08460_4400_N,0.021948558586,0.00175056861425781,0.021948558586,0.00175056861425781,0.021948558586,0.00175056861425781
0066_003_GP_00100_00200_3200_L,0.000228107086,2.1247339e-06,0.000228107086,2.1247339e-06,0.000228107086,2.1247339e-06
0068_003_IP_00200_00400_3200_N,0.000730197604333562,3.46506577209472e-06,0.000653598840314336,3.20930980319279e-06,0.000704806591897459,3.45909348382662e-06
0069_003_IP_01000_02000_3200_N,0.00071735446707866,3.29476237419363e-06,0.00066614175631342,3.19396178671195e-06,0.000693104066529335,3.28475982385492e-06
0070_003_IP_02000_04000_3200_N,0.000701640344853895,3.29612801475335e-06,0.000661838712138552,3.23413496401717e-06,0.000709115739681086,3.24543457998797e-06
0072_003_IP_01000_02000_5500_L,0.00071735446707866,3.29476237419363e-06,0.00066614175631342,3.19396178671195e-06,0.000693104066529335,3.28475982385492e-06
0073_003_IP_00200_01000_5500_L,0.000730197604333562,3.46506577209472e-06,0.000653598840314336,3.20930980319279e-06,0.000704806591897459,3.45909348382662e-06
0075_004_N6_00800_00080_3200_L,0.00347614807,5.205620595e-05,0.00347614807,5.205620595e-05,0.00347614807,5.205620595e-05
0076_004_N6_03200_00320_3200_L,0.01377348967,0.0008328992952,0.01377348967,0.0008328992952,0.01377348967,0.0008328992952
0077_004_G4_00100_00025_3200_N,0.0007389967,0,0.0007389967,0,0.0007389967,0
0078_004_G4_00200_00050_3200_N,0.0011127999,0,0.0011127999,0,0.0011127999,0
0080_004_S6_00200_00050_3200_N,0.0008969065,0,0.0008969065,0,0.0008969065,0
0081_004_S6_00800_00160_4400_L,0.0036956065,0,0.0036956065,0,0.0036956065,0
0083_004_GP_00050_00020_4400_N,0.000118407836,2.002420975e-06,0.000118407836,2.002420975e-06,0.000118407836,2.002420975e-06
0084_004_GP_00200_00100_4400_N,0.000447505586,2.6139856e-06,0.000447505586,2.6139856e-06,0.000447505586,2.6139856e-06
0086_004_GP_00100_00100_5500_L,0.000228107086,2.1247339e-06,0.000228107086,2.1247339e-06,0.000228107086,2.1247339e-06
0087_004_GP_00800_00640_5500_L,0.001763896586,1.23990196e-05,0.001763896586,1.23990196e-05,0.001763896586,1.23990196e-05
0088_004_IP_00100_00050_5500_N,0.00068674448767834,2.21352561586909e-06,0.000627534905012589,2.06239761796738e-06,0.000660715648126955,2.15238475129514e-06
0089_004_IP_00500_00250_5500_N,0.000732257190814069,3.36873668578835e-06,0.0006674593728542,3.17665156625348e-06,0.000690411612115663,3.36490605883088e-06
0090_004_IP_01600_00750_5500_N,0.000701640344853895,3.29612801475335e-06,0.000661838712138552,3.23413496401717e-06,0.000709115739681086,3.24543457998797e-06
0091_004_IP_00320_00080_3200_L,0.00073336629282063,3.42217603972887e-06,0.000661891813534752,3.18889849632611e-06,0.000696698558022431,3.41597773007417e-06
0092_004_IP_00640_00125_3200_L,0.000727747005416953,3.33389946872331e-06,0.000667513847562371,3.17850623577945e-06,0.000689177386129549,3.33356249388572e-06
0094_005_N6_00100_00050_3200_L,0.00047275677,2.7743688e-06,0.00047275677,2.7743688e-06,0.00047275677,2.7743688e-06
0096_005_N6_01600_01000_3200_L,0.00690859527,0.0002082248238,0.00690859527,0.0002082248238,0.00690859527,0.0002082248238
0097_005_N6_03200_02000_3200_L,0.01377348967,0.0008328992952,0.01377348967,0.0008328992952,0.01377348967,0.0008328992952
0098_005_G4_00100_00050_3200_N,0.0007389967,0,0.0007389967,0,0.0007389967,0
0099_005_G4_00400_00200_3200_N,0.0018604063,0,0.0018604063,0,0.0018604063,0
0101_005_S6_00100_00050_4400_L,0.0004794565,0,0.0004794565,0,0.0004794565,0
0102_005_S6_00400_00200_4400_L,0.0017738065,0,0.0017738065,0,0.0017738065,0
0104_005_S6_03200_01600_4400_L,0.0199304065,0,0.0199304065,0,0.0199304065,0
0105_005_GP_00100_00100_4400_N,0.000228107086,2.1247339e-06,0.000228107086,2.1247339e-06,0.000228107086,2.1247339e-06
0106_005_GP_00400_00400_4400_N,0.000886302586,4.5709924e-06,0.000886302586,4.5709924e-06,0.000886302586,4.5709924e-06
0107_005_GP_01600_01600_4400_N,0.003519084586,4.4814556525e-05,0.003519084586,4.4814556525e-05,0.003519084586,4.4814556525e-05
0108_005_GP_06400_06400_4400_N,0.014050212586,0.0007170329044,0.014050212586,0.0007170329044,0.014050212586,0.0007170329044
0110_005_IP_00100_00100_5500_L,0.00068674448767834,2.21352561586909e-06,0.000627534905012589,2.06239761796738e-06,0.000660715648126955,2.15238475129514e-06
0111_005_IP_00400_00400_5500_L,0.000735478751812009,3.39373127085888e-06,0.000667420462348364,3.17532713369065e-06,0.000691293202105745,3.38738411381449e-06
0113_005_IP_01600_01520_5500_L,0.000701640344853895,3.29612801475335e-06,0.000661838712138552,3.23413496401717e-06,0.000709115739681086,3.24543457998797e-06
0114_005_IP_00100_00200_5500_N,0.00068674448767834,2.21352561586909e-06,0.000627534905012589,2.06239761796738e-06,0.000660715648126955,2.15238475129514e-06
0115_005_IP_00400_00750_5500_N,0.000735478751812009,3.39373127085888e-06,0.000667420462348364,3.17532713369065e-06,0.000691293202105745,3.38738411381449e-06
0116_005_IP_00800_01520_5500_N,0.000722592507820249,3.29430722355426e-06,0.00066757610437171,3.18062652086344e-06,0.000687766842145419,3.29792086542252e-06
0117_005_IP_01600_04160_5500_N,0.000701640344853895,3.29612801475335e-06,0.000661838712138552,3.23413496401717e-06,0.000709115739681086,3.24543457998797e-06
0118_006_N6_00100_00025_3200_L,0.00047275677,2.7743688e-06,0.00047275677,2.7743688e-06,0.00047275677,2.7743688e-06
0120_006_N6_01600_00400_3200_L,0.00690859527,0.0002082248238,0.00690859527,0.0002082248238,0.00690859527,0.0002082248238
0121_006_N6_03200_01000_3200_L,0.01377348967,0.0008328992952,0.01377348967,0.0008328992952,0.01377348967,0.0008328992952
0122_006_G4_00100_00050_3200_N,0.0007389967,0,0.0007389967,0,0.0007389967,0
0123_006_G4_00400_00160_3200_N,0.0018604063,0,0.0018604063,0,0.0018604063,0
0125_006_S6_00100_00050_4400_L,0.0004794565,0,0.0004794565,0,0.0004794565,0
0126_006_S6_00400_00200_4400_L,0.0017738065,0,0.0017738065,0,0.0017738065,0
0127_006_S6_01600_00800_4400_L,0.0082112065,0,0.0082112065,0,0.0082112065,0
0129_006_GP_00100_00100_4400_N,0.000228107086,2.1247339e-06,0.000228107086,2.1247339e-06,0.000228107086,2.1247339e-06
0130_006_GP_00400_00400_4400_N,0.000886302586,4.5709924e-06,0.000886302586,4.5709924e-06,0.000886302586,4.5709924e-06
0132_006_GP_00100_00200_5500_L,0.000228107086,2.1247339e-06,0.000228107086,2.1247339e-06,0.000228107086,2.1247339e-06
0133_006_GP_00800_01600_5500_L,0.001763896586,1.23990196e-05,0.001763896586,1.23990196e-05,0.001763896586,1.23990196e-05
0134_006_IP_00100_00100_5500_N,0.00068674448767834,2.21352561586909e-06,0.000627534905012589,2.06239761796738e-06,0.000660715648126955,2.15238475129514e-06
0135_006_IP_00400_00400_5500_N,0.000735478751812009,3.39373127085888e-06,0.000667420462348364,3.17532713369065e-06,0.000691293202105745,3.38738411381449e-06
0136_006_IP_00800_00800_5500_N,0.000722592507820249,3.29430722355426e-06,0.00066757610437171,3.18062652086344e-06,0.000687766842145419,3.29792086542252e-06
0137_006_IP_01600_01600_5500_N,0.000701640344853895,3.29612801475335e-06,0.000661838712138552,3.23413496401717e-06,0.000709115739681086,3.24543457998797e-06
0138_006_IP_00100_00100_3200_L,0.00068674448767834,2.21352561586909e-06,0.000627534905012589,2.06239761796738e-06,0.000660715648126955,2.15238475129514e-06
0139_006_IP_00200_00200_3200_L,0.000730197604333562,3.46506577209472e-06,0.000653598840314336,3.20930980319279e-06,0.000704806591897459,3.45909348382662e-06
0140_006_IP_00800_00800_3200_L,0.000722592507820249,3.29430722355426e-06,0.00066757610437171,3.18062652086344e-06,0.000687766842145419,3.29792086542252e-06
0142_007_N6_00100_00100_4400_N,0.00047275677,2.7743688e-06,0.00047275677,2.7743688e-06,0.00047275677,2.7743688e-06
0144_007_N6_01600_01600_4400_N,0.00690859527,0.0002082248238,0.00690859527,0.0002082248238,0.00690859527,0.0002082248238
0145_007_N6_03200_03200_4400_N,0.01377348967,0.0008328992952,0.01377348967,0.0008328992952,0.01377348967,0.0008328992952
0146_007_N6_00400_00400_4400_N,0.00175992447,1.30140514875e-05,0.00175992447,1.30140514875e-05,0.00175992447,1.30140514875e-05
0147_007_G4_00100_00100_4400_L,0.0007389967,0,0.0007389967,0,0.0007389967,0
0149_007_G4_00800_00800_4400_L,0.0033556191,6.313376e-05,0.0033556191,6.313376e-05,0.0033556191,6.313376e-05
0150_007_S6_00100_00100_5500_L,0.0004794565,0,0.0004794565,0,0.0004794565,0
0151_007_S6_00800_00800_5500_L,0.0036956065,0,0.0036956065,0,0.0036956065,0
0152_007_S6_01600_01600_5500_L,0.0082112065,0,0.0082112065,0,0.0082112065,0
0154_007_S6_00400_00400_5500_L,0.0017738065,0,0.0017738065,0,0.0017738065,0
0155_007_GP_00100_00100_5500_N,0.000228107086,2.1247339e-06,0.000228107086,2.1247339e-06,0.000228107086,2.1247339e-06
0156_007_GP_00800_00800_5500_N,0.001763896586,1.23990196e-05,0.001763896586,1.23990196e-05,0.001763896586,1.23990196e-05
0157_007_GP_01600_01600_5500_N,0.003519084586,4.4814556525e-05,0.003519084586,4.4814556525e-05,0.003519084586,4.4814556525e-05
0159_007_IP_00100_00100_3200_L,0.00068674448767834,2.21352561586909e-06,0.000627534905012589,2.06239761796738e-06,0.000660715648126955,2.15238475129514e-06
0160_007_IP_00400_00400_3200_L,0.000735478751812009,3.39373127085888e-06,0.000667420462348364,3.17532713369065e-06,0.000691293202105745,3.38738411381449e-06
0161_007_IP_00800_00800_3200_L,0.000722592507820249,3.29430722355426e-06,0.00066757610437171,3.18062652086344e-06,0.000687766842145419,3.29792086542252e-06
0163_007_IP_00100_00100_3200_N,0.00068674448767834,2.21352561586909e-06,0.000627534905012589,2.06239761796738e-06,0.000660715648126955,2.15238475129514e-06
0164_007_IP_00400_00400_3200_N,0.000735478751812009,3.39373127085888e-06,0.000667420462348364,3.17532713369065e-06,0.000691293202105745,3.38738411381449e-06
0165_007_IP_00800_00800_3200_N,0.000722592507820249,3.29430722355426e-06,0.00066757610437171,3.18062652086344e-06,0.000687766842145419,3.29792086542252e-06
0166_007_IP_01600_01600_3200_N,0.000701640344853895,3.29612801475335e-06,0.000661838712138552,3.23413496401717e-06,0.000709115739681086,3.24543457998797e-06
0167_008_N6_00100_00050_4400_L,0.00047275677,2.7743688e-06,0.00047275677,2.7743688e-06,0.00047275677,2.7743688e-06
0168_008_N6_00400_00200_4400_L,0.00175992447,1.30140514875e-05,0.00175992447,1.30140514875e-05,0.00175992447,1.30140514875e-05
0169_008_N6_00800_00400_4400_L,0.00347614807,5.205620595e-05,0.00347614807,5.205620595e-05,0.00347614807,5.205620595e-05
0170_008_N6_01600_00800_4400_L,0.00690859527,0.0002082248238,0.00690859527,0.0002082248238,0.00690859527,0.0002082248238
0172_008_G4_00100_00100_4400_N,0.0007389967,0,0.0007389967,0,0.0007389967,0
0173_008_G4_00400_00400_4400_N,0.0018604063,0,0.0018604063,0,0.0018604063,0
0175_008_S6_00100_00025_5500_L,0.0004794565,0,0.0004794565,0,0.0004794565,0
0177_008_S6_00800_00200_5500_L,0.0036956065,0,0.0036956065,0,0.0036956065,0
0178_008_S6_01600_00400_5500_L,0.0082112065,0,0.0082112065,0,0.0082112065,0
0179_008_S6_03200_00800_5500_L,0.0199304065,0,0.0199304065,0,0.0199304065,0
0180_008_GP_00100_00100_5500_N,0.000228107086,2.1247339e-06,0.000228107086,2.1247339e-06,0.000228107086,2.1247339e-06
0181_008_GP_00800_00800_5500_N,0.001763896586,1.23990196e-05,0.001763896586,1.23990196e-05,0.001763896586,1.23990196e-05
0182_008_GP_03200_03200_5500_N,0.007029460586,0.0001792582261,0.007029460586,0.0001792582261,0.007029460586,0.0001792582261
0184_008_IP_00100_00100_3200_L,0.00068674448767834,2.21352561586909e-06,0.000627534905012589,2.06239761796738e-06,0.000660715648126955,2.15238475129514e-06
0185_008_IP_00400_00400_3200_L,0.000735478751812009,3.39373127085888e-06,0.000667420462348364,3.17532713369065e-06,0.000691293202105745,3.38738411381449e-06
0186_008_IP_00800_00800_3200_L,0.000722592507820249,3.29430722355426e-06,0.00066757610437171,3.18062652086344e-06,0.000687766842145419,3.29792086542252e-06
0188_008_IP_00100_00100_3200_N,0.00068674448767834,2.21352561586909e-06,0.000627534905012589,2.06239761796738e-06,0.000660715648126955,2.15238475129514e-06
0189_008_IP_00400_00400_3200_N,0.000735478751812009,3.39373127085888e-06,0.000667420462348364,3.17532713369065e-06,0.000691293202105745,3.38738411381449e-06
0190_008_IP_00800_00800_3200_N,0.000722592507820249,3.29430722355426e-06,0.00066757610437171,3.18062652086344e-06,0.000687766842145419,3.29792086542252e-06
0191_008_IP_01600_01600_3200_N,0.000701640344853895,3.29612801475335e-06,0.000661838712138552,3.23413496401717e-06,0.000709115739681086,3.24543457998797e-06
0192_009_IP_00100_00200_3200_N,0.00068674448767834,2.21352561586909e-06,0.000627534905012589,2.06239761796738e-06,0.000660715648126955,2.15238475129514e-06
0193_009_IP_00800_02000_3200_N,0.000722592507820249,3.29430722355426e-06,0.00066757610437171,3.18062652086344e-06,0.000687766842145419,3.29792086542252e-06
0194_009_IP_01600_04000_3200_N,0.000701640344853895,3.29612801475335e-06,0.000661838712138552,3.23413496401717e-06,0.000709115739681086,3.24543457998797e-06
0195_009_IP_01600_04000_5500_L,0.000701640344853895,3.29612801475335e-06,0.000661838712138552,3.23413496401717e-06,0.000709115739681086,3.24543457998797e-06
0196_009_IP_00800_02000_5500_L,0.000722592507820249,3.29430722355426e-06,0.00066757610437171,3.18062652086344e-06,0.000687766842145419,3.29792086542252e-06
0197_009_IP_00100_00200_5500_L,0.00068674448767834,2.21352561586909e-06,0.000627534905012589,2.06239761796738e-06,0.000660715648126955,2.15238475129514e-06
0198_010_GP_00100_00200_5500_N,0.000228107086,2.1247339e-06,0.000228107086,2.1247339e-06,0.000228107086,2.1247339e-06
0199_010_GP_00800_01600_5500_N,0.001763896586,1.23990196e-05,0.001763896586,1.23990196e-05,0.001763896586,1.23990196e-05
0200_010_GP_01600_03200_5500_N,0.003519084586,4.4814556525e-05,0.003519084586,4.4814556525e-05,0.003519084586,4.4814556525e-05
